,species,metabolite,activity,type
6948,Pyrobaculum_aerophilum,D-Glucose,Consumption (import),Microbe
6949,Pyrobaculum_aerophilum,Nitrate,Consumption (import),Microbe
6950,Pyrobaculum_calidifontis,Nitrate,Consumption (import),Microbe
6951,Pyrococcus_abyssi,Pyruvate,Consumption (import),Microbe
6952,Pyrococcus_furiosus,Acetate,Production (export),Microbe
6953,Pyrococcus_furiosus,Cellobiose,Consumption (import),Microbe
6954,Pyrococcus_furiosus,Cellotetraose,Consumption (import),Microbe
6955,Pyrococcus_furiosus,D-Glucose,Consumption (import),Microbe
6956,Pyrococcus_furiosus,H2,Production (export),Microbe
6957,Pyrococcus_furiosus,Maltose,Consumption (import),Microbe
6958,Pyrococcus_furiosus,Pyruvate,Consumption (import),Microbe
6959,Pyrococcus_furiosus,Trehalose,Consumption (import),Microbe
6960,Pyrococcus_horikoshii,D-Glucose,Consumption (import),Microbe
6961,Ralstonia_pickettii,D-Glucose,Consumption (import),Microbe
6962,Ralstonia_pickettii,Formate,Consumption (import),Microbe
6963,Ralstonia_pickettii,Methanol,Consumption (import),Microbe
